,ov,Data de criação da ov_x,semana_criacao,monday1,monday2,numero_semanas,Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Data de criação da ov_y,Sold to_x,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim_x,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção,data_substituir,planeador_x,acabamento,descricao_bloco,encomendar,item,key,Sold to_y,planeador_y,Data-base do fim,Data de criação da ov_y,semana,planeador
0,3823000950.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000950.0,40.0,04/11/2021,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",HSILVA,385220659,26/11/2021,2021-11-26 00:00:00.000000,06/12/2021,0.0,70015494,"RL CC 8202/000 1220X6,0-25M 02",60.0,70009229,"RL CC 8202/000 1220X6,0-25M NE",60.0,CNM-EMBALAGEM VSM,CNMVSMEB,2.511,PT,0.0,26/11/2021,CNM,000,RL,NE,40.0,3823000950.0 40.0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",CNM,2021-11-26 00:00:00.000000,04/11/2021,-2,CNM - Transformaçã
1,3823000950.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000950.0,40.0,,,,385220810,26/11/2021,2021-11-26 00:00:00.000000,,0.0,70009229,"RL CC 8202/000 1220X6,0-25M NE",60.0,70003556,CL CC 8202 1220X1100 NE,11.343,CNM-LAMINAGEM VSM,CNMVSMRL,2.511,,0.0,26/11/2021,CNM,000,CL,NE,40.0,3823000950.0 40.0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",CNM,2021-11-26 00:00:00.000000,04/11/2021,-2,
2,3823000949.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000949.0,30.0,04/11/2021,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",HSILVA,385220625,29/11/2021,2021-12-09 00:00:00.000000,07/12/2021,0.0,70003187,"PL CC 8747/000 1000X500X9,7 01",630.0,70012012,BL CC 8747/ORT 1000X500X210 NE,30.301,CNM-LAMINADORAS PLACAS,CNMLAMPL,1.881,PT,0.0,09/12/2021,CNM,000,BL,NE,30.0,3823000949.0 30.0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",CNM,2021-12-09 00:00:00.000000,04/11/2021,0,
3,3823000949.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000949.0,20.0,04/11/2021,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",HSILVA,385220623,29/11/2021,2021-12-09 00:00:00.000000,07/12/2021,0.0,70003028,"PL CC 8747/000 1000X500X19,8 02",300.0,70012012,BL CC 8747/ORT 1000X500X210 NE,30.3,CNM-LAMINADORAS PLACAS,CNMLAMPL,1.818,PT,0.0,09/12/2021,CNM,000,BL,NE,20.0,3823000949.0 20.0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",CNM,2021-12-09 00:00:00.000000,04/11/2021,0,
4,3823000949.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000949.0,10.0,04/11/2021,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",HSILVA,385220622,29/11/2021,2021-12-09 00:00:00.000000,07/12/2021,0.0,70002998,"PL CC 8747/000 1000X500X29,8 01",360.0,70012012,BL CC 8747/ORT 1000X500X210 NE,60.6,CNM-SERRA PLACAS,CNMSERPL,6.0,PT,0.0,09/12/2021,CNM,000,BL,NE,10.0,3823000949.0 10.0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",CNM,2021-12-09 00:00:00.000000,04/11/2021,0,
5,3823000941.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000941.0,40.0,,,,385220763,26/11/2021,2021-11-26 00:00:00.000000,,0.0,70006567,"RL CC 8210/000 1000X9,8-10M NE",24.0,70003128,CL CC 8210 1000X1100 NE,2.964,CNM-LAMINADORAS ROLOS,CNMLAMRL,3.0,,0.0,26/11/2021,CNM,000,CL,NE,40.0,3823000941.0 40.0,,CNM,2021-11-26 00:00:00.000000,,-2,
6,3823000941.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000941.0,40.0,04/11/2021,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",HSILVA,385220645,26/11/2021,2021-11-26 00:00:00.000000,06/12/2021,0.0,70005477,"RL CC 8210/000 1000X9,8-10M 04",24.0,70006567,"RL CC 8210/000 1000X9,8-10M NE",24.0,CNM-EMBALAGEM ROLOS,CNMEMBRL,0.686,PT,0.0,26/11/2021,CNM,000,RL,NE,40.0,3823000941.0 40.0,,CNM,2021-11-26 00:00:00.000000,,-2,CNM - Transformaçã
7,3823000934.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000934.0,10.0,,,,385220828,07/12/2021,2021-12-07 00:00:00.000000,,0.0,70023770,"PL CC 8402/000 915X610X5,8 NE",6000.0,70005514,BL CC 8402/ORT 915X610X200 NE,186.225,CNM-LAMINADORAS PLACAS,CNMLAMPL,14.252,,0.0,07/12/2021,CNM,000,BL,NE,10.0,3823000934.0 10.0,,CNM,2021-12-07 00:00:00.000000,,0,
8,3823000934.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000934.0,10.0,04/11/2021,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",HSILVA,385220662,07/12/2021,2021-12-07 00:00:00.000000,15/12/2021,0.0,70023769,"PL CC 8402/000 915X610X5,8 01",6000.0,70023770,"PL CC 8402/000 915X610X5,8 NE",6000.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,6.0,PT,0.0,07/12/2021,CNM,000,PL,NE,10.0,3823000934.0 10.0,,CNM,2021-12-07 00:00:00.000000,,0,CNM - Transformaçã
9,3823000928.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000928.0,10.0,,,,385220734,25/11/2021,2021-11-26 00:00:00.000000,,0.0,70005565,"PL CC 8002/000 915X610X6,0 NE",16500.0,70005496,BL CC 8002/ORT 915X610X250 NE,410.484,CNM-LAMINADORAS PLACAS,CNMLAMPL,37.585,,0.0,26/11/2021,CNM,000,BL,NE,10.0,3823000928.0 10.0,,CNM,2021-11-26 00:00:00.000000,,-2,
10,3823000928.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000928.0,10.0,04/11/2021,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",HSILVA,385220637,26/11/2021,2021-11-26 00:00:00.000000,06/12/2021,0.0,70004915,"PL CC 8002/000 915X610X6,0 09",16500.0,70005565,"PL CC 8002/000 915X610X6,0 NE",16500.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,15.865,PT,0.0,26/11/2021,CNM,000,PL,NE,10.0,3823000928.0 10.0,,CNM,2021-11-26 00:00:00.000000,,-2,CNM - Transformaçã
11,3823000925.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000925.0,10.0,,,,385220736,25/11/2021,2021-11-26 00:00:00.000000,,0.0,70005571,"PL CC 8002/000 915X610X12,0 NE",8250.0,70005496,BL CC 8002/ORT 915X610X250 NE,422.813,CNM-LAMINADORAS PLACAS,CNMLAMPL,29.049,,0.0,26/11/2021,CNM,000,BL,NE,10.0,3823000925.0 10.0,,CNM,2021-11-26 00:00:00.000000,,-2,
12,3823000925.0,2021-11-04 00:00:00.000000,44,2021-11-01 00:00:00.000000,2021-11-22 09:01:50.354059,3.0,CNM - Transformaçã,,KD,3823000925.0,10.0,04/11/2021,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",HSILVA,385220638,26/11/2021,2021-11-26 00:00:00.000000,06/12/2021,0.0,70004916,"PL CC 8002/000 915X610X12,0 28",8250.0,70005571,"PL CC 8002/000 915X610X12,0 NE",8250.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,17.188,PT,0.0,26/11/2021,CNM,000,PL,NE,10.0,3823000925.0 10.0,,CNM,2021-11-26 00:00:00.000000,,-2,CNM - Transformaçã
13,3823000838.0,2021-10-13 00:00:00.000000,41,2021-10-11 00:00:00.000000,2021-11-22 09:01:50.354059,6.0,CNM - Transformaçã,,KD,3823000838.0,10.0,,,,385220772,26/11/2021,2021-11-27 00:00:00.000000,,0.0,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",6.0,70002818,CL CC 8244 1220X1100 NE,0.606,CNM-LAMINAGEM VSM,CNMVSMRL,0.148,,0.0,27/11/2021,CNM,000,CL,NE,10.0,3823000838.0 10.0,,CNM,2021-11-27 00:00:00.000000,,-2,
14,3823000838.0,2021-10-13 00:00:00.000000,41,2021-10-11 00:00:00.000000,2021-11-22 09:01:50.354059,6.0,CNM - Transformaçã,,KD,3823000838.0,10.0,13/10/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,385208393,26/11/2021,2021-11-27 00:00:00.000000,10/11/2021,202148.0,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",6.0,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",6.0,CNM-EMBALAGEM VSM,CNMVSMEB,0.148,US,0.0,27/11/2021,CNM,000,RL,NE,10.0,3823000838.0 10.0,,CNM,2021-11-27 00:00:00.000000,,-2,CNM - Transformaçã
15,3823000504.0,2021-05-04 00:00:00.000000,18,2021-05-03 00:00:00.000000,2021-11-22 09:01:50.354059,29.0,CRM - Transformaçã,,KD,3823000504.0,80.0,,,,385221729,22/11/2021,2021-10-22 00:00:00.000000,,0.0,71000917,QD CI 5351/000 27-Z 164 NE,5.0,70000956,BL CI 5351/000 950X650X200 NE,1.456,CRM-SERRA 05,CRMSER05,0.459,,0.0,22/10/2021,CRM,000,BL,NE,80.0,3823000504.0 80.0,,CRM,2021-10-22 00:00:00.000000,,-7,
16,3823000504.0,2021-05-04 00:00:00.000000,18,2021-05-03 00:00:00.000000,2021-11-22 09:01:50.354059,29.0,CRM - Transformaçã,,KD,3823000504.0,80.0,,,,385221416,22/11/2021,2021-10-22 00:00:00.000000,,0.0,71000081,QD CI 5351/OCL 27-Z 164 NE,5.0,71000917,QD CI 5351/000 27-Z 164 NE,5.0,CRM-COLAR QUADROS,CRMCOLQD,0.156,,0.0,22/10/2021,CRM,OCL,QD,NE,80.0,3823000504.0 80.0,,CRM,2021-10-22 00:00:00.000000,,-7,
17,3823000504.0,2021-05-04 00:00:00.000000,18,2021-05-03 00:00:00.000000,2021-11-22 09:01:50.354059,29.0,CCS,,KD,3823000504.0,60.0,,,,385220853,22/11/2021,2021-10-22 00:00:00.000000,,0.0,71001263,"JT CR GT46/PUK 227-Z 1,6 NE",200.0,71000461,"FQ CR GT46/PUK 227-Z 1,6 NE",100.0,CCS-CUNHAGEM JUNTAS,CCSBALJT,0.128,,0.0,22/10/2021,CCS,PUK,FQ,NE,60.0,3823000504.0 60.0,,CCS,2021-10-22 00:00:00.000000,,-7,
18,3823000504.0,2021-05-04 00:00:00.000000,18,2021-05-03 00:00:00.000000,2021-11-22 09:01:50.354059,29.0,CCS,,KD,3823000504.0,60.0,04/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,385220682,22/11/2021,2021-10-22 00:00:00.000000,29/11/2021,202148.0,71000135,"JT CR GT46/PUK 227-Z 1,6 00",200.0,71001263,"JT CR GT46/PUK 227-Z 1,6 NE",200.0,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.0,US,0.0,22/10/2021,CCS,PUK,JT,NE,60.0,3823000504.0 60.0,,CCS,2021-10-22 00:00:00.000000,,-7,CCS
19,3820015552.0,2021-10-13 00:00:00.000000,41,2021-10-11 00:00:00.000000,2021-11-22 09:01:50.354059,6.0,CRM - Aglomeração,,KD,3820015552.0,10.0,13/10/2021,"NATIGAM -TECNOLOGIA E INJ.PLAST, SA",LOGISTICA,385208387,22/11/2021,2021-11-22 00:00:00.000000,29/11/2021,202145.0,46000347,MF CR A099 01,9.0,46000119,MF CR A099 NE,1.0,CRM-EMBALAGEM AGLOMERAÇÃO,CRMEMBAG,0.003,PT,0.0,22/11/2021,CRM,,MF,NE,10.0,3820015552.0 10.0,"NATIGAM -TECNOLOGIA E INJ.PLAST, SA",CRM,2021-11-22 00:00:00.000000,13/10/2021,-2,CRM - Aglomeração
20,3820014571.0,2021-09-07 00:00:00.000000,36,2021-09-06 00:00:00.000000,2021-11-22 09:01:50.354059,11.0,CRM - Transformaçã,,KD,3820014571.0,60.0,07/09/2021,SESAM VOLONTE 'F.LLI S.R.L.,LRIBEIRO,385220624,30/11/2021,2021-12-02 00:00:00.000000,29/11/2021,202149.0,70003118,"RL CR 1049/T02 1092X3,0-133M EE",1.0,70008126,"RL CR 1049/T02 1092X3,0 NE",133.0,CRM-MEI,CRMRLMEI,0.958,IT,0.0,02/12/2021,CRM,T02,RL,NE,60.0,3820014571.0 60.0,SESAM VOLONTE 'F.LLI S.R.L.,CRM,2021-12-02 00:00:00.000000,07/09/2021,-1,
21,3820014133.0,2021-08-19 00:00:00.000000,33,2021-08-16 00:00:00.000000,2021-11-22 09:01:50.354059,14.0,CRM - Transformaçã,,KD,3820014133.0,60.0,,,,385220791,22/11/2021,2021-11-27 00:00:00.000000,,0.0,70007311,"RL CR S112/000 1000X4,0 NE",96.0,70000911,CL CR S112 1067X635 NE,1.837,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,1.053,,0.0,27/11/2021,CRM,000,CL,NE,60.0,3820014133.0 60.0,,CRM,2021-11-27 00:00:00.000000,,-2,
22,3820014133.0,2021-08-19 00:00:00.000000,33,2021-08-16 00:00:00.000000,2021-11-22 09:01:50.354059,14.0,CRM - Transformaçã,,KD,3820014133.0,60.0,19/08/2021,OTTO OLSEN,LRIBEIRO,385208403,22/11/2021,2021-11-27 00:00:00.000000,29/11/2021,202148.0,70001445,"RL CR S112/000 1000X4,0-16M 01",6.0,70007311,"RL CR S112/000 1000X4,0 NE",96.0,CRM-MEI,CRMRLMEI,0.998,NO,0.0,27/11/2021,CRM,000,RL,NE,60.0,3820014133.0 60.0,,CRM,2021-11-27 00:00:00.000000,,-2,
23,3820012589.0,2021-06-22 00:00:00.000000,25,2021-06-21 00:00:00.000000,2021-11-22 09:01:50.354059,22.0,CRM - Transformaçã,,KD,3820012589.0,10.0,,,,385220795,22/11/2021,2021-11-22 00:00:00.000000,,0.0,70008317,RL CI 5700/000 1250X8/4 NE,50.0,70007691,"RL CI 5700/000 1250X12,0 NE",25.68,CRM-DIVISORA,CRMDIV01,0.208,,0.0,22/11/2021,CRM,000,RL,NE,10.0,3820012589.0 10.0,,CRM,2021-11-22 00:00:00.000000,,-2,
24,3820012589.0,2021-06-22 00:00:00.000000,25,2021-06-21 00:00:00.000000,2021-11-22 09:01:50.354059,22.0,CRM - Transformaçã,,KD,3820012589.0,10.0,,,,385221034,23/11/2021,2021-11-23 00:00:00.000000,,0.0,70007691,"RL CI 5700/000 1250X12,0 NE",25.68,70001771,CL CI 5700 1320X990 NE,0.44,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,0.156,,0.0,23/11/2021,CRM,000,CL,NE,10.0,3820012589.0 10.0,,CRM,2021-11-22 00:00:00.000000,,-2,
25,3820012589.0,2021-06-22 00:00:00.000000,25,2021-06-21 00:00:00.000000,2021-11-22 09:01:50.354059,22.0,CRM - Transformaçã,,KD,3820012589.0,10.0,22/06/2021,"C.D.M. PORTUGAL, LDA.",COALMEIDA,385220630,22/11/2021,2021-11-22 00:00:00.000000,29/11/2021,202143.0,70003593,RL CI 5700/PSF 1250X8/4-10M CD,5.0,70008317,RL CI 5700/000 1250X8/4 NE,50.0,CRM-MEI,CRMRLMEI,0.625,PT,0.0,22/11/2021,CRM,PSF,RL,NE,10.0,3820012589.0 10.0,,CRM,2021-11-22 00:00:00.000000,,-2,
26,3820011583.0,2021-05-19 00:00:00.000000,20,2021-05-17 00:00:00.000000,2021-11-22 09:01:50.354059,27.0,CRM - Transformaçã,,KD,3820011583.0,20.0,19/05/2021,FOOTFALL FLOORING LD,CBORGES,385220635,22/11/2021,2021-11-22 00:00:00.000000,09/11/2021,202145.0,70004680,"RL CI 5015/000 1000X3,0-15M SD",18.0,70000975,"RL CI 5015/000 1000X3,0 NE",270.0,CRM-VSM,CRMVSMRL,1.286,GB,0.0,22/11/2021,CRM,000,RL,NE,20.0,3820011583.0 20.0,FOOTFALL FLOORING LD,CRM,2021-11-22 00:00:00.000000,19/05/2021,-2,
27,3820011583.0,2021-05-19 00:00:00.000000,20,2021-05-17 00:00:00.000000,2021-11-22 09:01:50.354059,27.0,CRM - Transformaçã,,KD,3820011583.0,20.0,,,,385220717,22/11/2021,2021-11-22 00:00:00.000000,,0.0,70000975,"RL CI 5015/000 1000X3,0 NE",270.0,70025191,CL CI 5015 1016X950 NE,1.292,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,1.286,,0.0,22/11/2021,CRM,000,CL,NE,20.0,3820011583.0 20.0,FOOTFALL FLOORING LD,CRM,2021-11-22 00:00:00.000000,19/05/2021,-2,
28,3820011393.0,2021-05-12 00:00:00.000000,19,2021-05-10 00:00:00.000000,2021-11-22 09:01:50.354059,28.0,CRM - Transformaçã,,KD,3820011393.0,60.0,12/05/2021,EA MATERIALS AND TECHNOLOGIES,DMEDEIROS,385208394,17/12/2021,2021-12-18 00:00:00.000000,24/12/2021,202151.0,70000949,"RL CR 1049/000 1000X1,0-66M 00",6.0,70008952,"RL CR 1049/000 1000X1,0 NE",396.0,CRM-MEI,CRMRLMEI,1.109,KR,0.0,18/12/2021,CRM,000,RL,NE,60.0,3820011393.0 60.0,EA MATERIALS AND TECHNOLOGIES,CRM,2021-12-18 00:00:00.000000,12/05/2021,1,
29,3820008002.0,2021-01-29 00:00:00.000000,4,2021-01-25 00:00:00.000000,2021-11-22 09:01:50.354059,43.0,CRM - Transformaçã,,KD,3820008002.0,100.0,,,,385221091,22/11/2021,2021-11-22 00:00:00.000000,,0.0,70014315,RL CI 5385/000 1067X17/8 NE,1392.0,70013805,"RL CI 5385/000 1067X24,5 NE",696.0,CRM-DIVISORA,CRMDIV01,13.385,,0.0,22/11/2021,CRM,000,RL,NE,100.0,3820008002.0 100.0,,CRM,2021-11-22 00:00:00.000000,,-2,
30,3820008002.0,2021-01-29 00:00:00.000000,4,2021-01-25 00:00:00.000000,2021-11-22 09:01:50.354059,43.0,CRM - Transformaçã,,KD,3820008002.0,100.0,,,,385221390,22/11/2021,2021-11-22 00:00:00.000000,,0.0,70013805,"RL CI 5385/000 1067X24,5 NE",696.0,70006912,CL CI 5385 1067X950 NE,30.453,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,13.385,,0.0,22/11/2021,CRM,000,CL,NE,100.0,3820008002.0 100.0,,CRM,2021-11-22 00:00:00.000000,,-2,
31,3820008002.0,2021-01-29 00:00:00.000000,4,2021-01-25 00:00:00.000000,2021-11-22 09:01:50.354059,43.0,CRM - Transformaçã,,KD,3820008002.0,30.0,29/01/2021,STREAM SPECIALIZED SERVICES,COALMEIDA,385220660,22/11/2021,2021-11-22 00:00:00.000000,29/11/2021,202121.0,70023379,RL CI 5185/000 1000X6/3-20M 01,6.0,70008411,RL CI 5185/000 1000X6/3 NE,120.0,CRM-MEI,CRMRLMEI,1.091,QA,0.0,22/11/2021,CRM,000,RL,NE,30.0,3820008002.0 30.0,STREAM SPECIALIZED SERVICES,CRM,2021-11-22 00:00:00.000000,29/01/2021,-2,
32,3820008002.0,2021-01-29 00:00:00.000000,4,2021-01-25 00:00:00.000000,2021-11-22 09:01:50.354059,43.0,CRM - Transformaçã,,KD,3820008002.0,30.0,,,,385220800,22/11/2021,2021-11-22 00:00:00.000000,,0.0,70008411,RL CI 5185/000 1000X6/3 NE,120.0,70008405,"RL CI 5185/000 1067X9,0 NE",60.0,CRM-DIVISORA,CRMDIV01,0.4,,0.0,22/11/2021,CRM,000,RL,NE,30.0,3820008002.0 30.0,STREAM SPECIALIZED SERVICES,CRM,2021-11-22 00:00:00.000000,29/01/2021,-2,
33,3820008002.0,2021-01-29 00:00:00.000000,4,2021-01-25 00:00:00.000000,2021-11-22 09:01:50.354059,43.0,CRM - Transformaçã,,KD,3820008002.0,30.0,,,,385221038,23/11/2021,2021-11-23 00:00:00.000000,,0.0,70008405,"RL CI 5185/000 1067X9,0 NE",60.0,70023750,CL CI 5185 1067X950 NE,0.866,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,0.463,,0.0,23/11/2021,CRM,000,CL,NE,30.0,3820008002.0 30.0,STREAM SPECIALIZED SERVICES,CRM,2021-11-22 00:00:00.000000,29/01/2021,-2,
34,3820005155.0,2020-10-29 00:00:00.000000,44,2020-10-26 00:00:00.000000,2021-11-22 09:01:50.354059,56.0,CRM - Transformaçã,,KD,3820005155.0,10.0,,,,385220759,22/11/2021,2021-11-27 00:00:00.000000,,0.0,70006438,"RL CR S112/PT1 1000X6,0 NE",11.0,70000911,CL CR S112 1067X635 NE,0.34,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,0.205,,0.0,27/11/2021,CRM,PT1,CL,NE,10.0,3820005155.0 10.0,,CRM,2021-11-27 00:00:00.000000,,-2,
35,3820005155.0,2020-10-29 00:00:00.000000,44,2020-10-26 00:00:00.000000,2021-11-22 09:01:50.354059,56.0,CRM - Transformaçã,,KD,3820005155.0,10.0,29/10/2020,AMORIM (UK) LIMITED,COALMEIDA,385208400,22/11/2021,2021-11-27 00:00:00.000000,21/11/2021,202146.0,70001060,"RL CR S112/PT1 1000X6,0-11M 00",1.0,70006438,"RL CR S112/PT1 1000X6,0 NE",11.0,CRM-MEI,CRMRLMEI,0.162,GB,0.0,27/11/2021,CRM,PT1,RL,NE,10.0,3820005155.0 10.0,,CRM,2021-11-27 00:00:00.000000,,-2,
